# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
191	0	Eta_Phe	10.838333	-57.463056	-6.00	11.00	46.00	4.36	
192	0	21____Cas	11.412500	74.988056	-18.00	-26.00	0.00	5.66	
193	0	22Omi_Cas	11.181250	48.284444	19.00	-8.00	0.00	4.54	
194	0	17Phi1Cet	11.047500	-10.609444	-9.00	-113.00	22.00	4.76	
195	0	Lam2Scl	11.050417	-38.421667	244.00	113.00	10.00	5.90	
196	0	HR196	11.321667	55.221667	-25.00	2.00	12.00	5.42	
197	0	HR197	11.185000	-22.006111	-66.00	83.00	48.00	5.24	
198	0	HR198	11.237917	-42.676667	-86.00	-102.00	0.00	5.94	
199	0	HR199	11.134583	-62.497778	143.00	-5.00	0.00	6.07	
200	0	HR200	11.662500	69.325000	196.00	1.00	0.00	6.33	
201	0	HR201	11.350417	-4.629167	28.00	33.00	0.00	6.15	
202	0	HR202	11.250000	-53.715000	230.00	0.00	0.00	6.15	
203	0	18____Cet	11.369583	-12.880833	-34.00	-201.00	0.00	6.15	
204	0	HR204	11.562917	55.305278	15.00	-12.00	0.00	6.52	
205	0	HR205	11.545417	44.861389	28.00	-9.00	0.00	6.05	
206	0	HR206	11.423750	-16.424167	14.00	-5.00	0.00	6.47	
207	0	HR207	11.676667	59.574444	-8.00	-1.00	0.00	6.39	
208	0	23____Cas	11.942083	74.847500	15.00	-9.00	0.00	5.41	
209	0	HR209	11.440000	-47.551667	184.00	86.00	49.00	5.80	
210	0	HR210	11.549167	-22.521944	201.00	-6.00	21.00	5.50	
211	0	57____Psc	11.637500	15.475556	-27.00	-44.00	15.00	5.38	
212	0	HR212	12.037917	72.675000	130.00	24.00	0.00	5.87	
213	0	58____Psc	11.756250	11.973889	58.00	-36.00	0.00	5.50	
214	0	59____Psc	11.806667	19.578889	104.00	11.00	0.00	6.13	
215	0	34Zet_And	11.834583	24.267222	-100.00	-83.00	37.00	4.06	
216	0	60____Psc	11.848333	6.740833	14.00	-15.00	0.00	5.99	
217	0	61____Psc	11.978333	20.925278	157.00	6.00	22.00	6.54	
218	0	HR218	11.930417	-18.061389	43.00	31.00	0.00	5.70	
219	0	24Eta_Cas	12.275000	57.815833	1100.00	-529.00	176.00	3.44	
220	0	HR220	12.004583	-21.722500	28.00	-11.00	0.00	5.57	
221	0	62____Psc	12.072500	7.300000	111.00	4.00	0.00	5.93	
222	0	HR222	12.095833	5.280556	758.00	-1146.00	145.00	5.75	
223	0	25Nu__Cas	12.208750	50.968333	35.00	-6.00	0.00	4.89	
224	0	63Del_Psc	12.170833	7.585000	85.00	-52.00	19.00	4.43	
